Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
353	3.0000	0.5970	0.5861
354	3.0000	0.5970	0.5861
355	3.0000	0.5970	0.5861
356	4.0000	0.7960	0.7814
357	7.0000	1.3930	1.3675
358	5.0000	0.9950	0.9768
359	3.0000	0.5970	0.5861
360	7.0000	1.3930	1.3675
361	7.0000	1.3930	1.3675
362	7.0000	1.3930	1.3675
363	5.0000	0.9950	0.9768
364	5.0000	0.9950	0.9768
365	7.0000	1.3930	1.3675
366	3.0000	0.5970	0.5861
367	3.0000	0.5970	0.5861
368	4.0000	0.7960	0.7814
369	3.0000	0.5970	0.5861
370	5.0000	0.9950	0.9768
371	7.0000	1.3930	1.3675
372	5.0000	0.9950	0.9768
373	5.0000	0.9950	0.9768
374	3.0000	0.5970	0.5861
375	3.0000	0.5970	0.5861
376	6.0000	1.1940	1.1721
377	7.0000	1.3930	1.3675
378	7.0000	1.3930	1.3675
379	7.0000	1.3930	1.3675
380	7.0000	1.3930	1.3675
381	7.0000	1.3930	1.3675
382	3.0000	0.5970	0.5861
383	5.0000	0.9950	0.9768
384	3.0000	0.5970	0.5861
385	6.0000	1.1940	1.1721
386	7.0000	1.3930	1.3675
387	5.0000	0.9950	0.9768
388	3.0000	0.5970	0.5861
389	7.0000	1.3930	1.3675
390	5.0000	0.9950	0.9768
391	3.0000	0.5970	0.5861
392	3.0000	0.5970	0.5861
393	7.0000	1.3930	1.3675
394	3.0000	0.5970	0.5861
395	7.0000	1.3930	1.3675
396	5.0000	0.9950	0.9768
397	6.0000	1.1940	1.1721
398	5.0000	0.9950	0.9768
399	6.0000	1.1940	1.1721
400	4.0000	0.7960	0.7814
401	3.0000	0.5970	0.5861
402	3.0000	0.5970	0.5861
403	7.0000	1.3930	1.3675
404	5.0000	0.9950	0.9768
405	5.0000	0.9950	0.9768
406	7.0000	1.3930	1.3675
407	5.0000	0.9950	0.9768
408	3.0000	0.5970	0.5861
409	4.0000	0.7960	0.7814
410	5.0000	0.9950	0.9768
411	3.0000	0.5970	0.5861
412	4.0000	0.7960	0.7814
413	7.0000	1.3930	1.3675
414	3.0000	0.5970	0.5861
415	5.0000	0.9950	0.9768
416	5.0000	0.9950	0.9768
417	7.0000	1.3930	1.3675
418	7.0000	1.3930	1.3675
419	6.0000	1.1940	1.1721
420	3.0000	0.5970	0.5861
421	7.0000	1.3930	1.3675
422	3.0000	0.5970	0.5861
423	6.0000	1.1940	1.1721
424	3.0000	0.5970	0.5861
425	3.0000	0.5970	0.5861
