Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
521	5.0000	1.0808	1.0613
522	3.0000	0.6485	0.6368
523	5.0000	1.0808	1.0613
524	5.0000	1.0808	1.0613
525	5.0000	1.0808	1.0613
526	5.0000	1.0808	1.0613
527	5.0000	1.0808	1.0613
528	4.0000	0.8647	0.8491
529	4.0000	0.8647	0.8491
530	5.0000	1.0808	1.0613
531	5.0000	1.0808	1.0613
532	5.0000	1.0808	1.0613
533	5.0000	1.0808	1.0613
534	5.0000	1.0808	1.0613
535	5.0000	1.0808	1.0613
536	5.0000	1.0808	1.0613
537	5.0000	1.0808	1.0613
538	3.0000	0.6485	0.6368
539	5.0000	1.0808	1.0613
540	5.0000	1.0808	1.0613
541	4.0000	0.8647	0.8491
542	5.0000	1.0808	1.0613
543	5.0000	1.0808	1.0613
544	4.0000	0.8647	0.8491
545	4.0000	0.8647	0.8491
546	5.0000	1.0808	1.0613
547	5.0000	1.0808	1.0613
548	4.0000	0.8647	0.8491
549	3.0000	0.6485	0.6368
550	5.0000	1.0808	1.0613
551	3.0000	0.6485	0.6368
552	5.0000	1.0808	1.0613
553	4.0000	0.8647	0.8491
554	4.0000	0.8647	0.8491
555	5.0000	1.0808	1.0613
556	5.0000	1.0808	1.0613
557	5.0000	1.0808	1.0613
558	5.0000	1.0808	1.0613
559	4.0000	0.8647	0.8491
560	4.0000	0.8647	0.8491
561	5.0000	1.0808	1.0613
562	3.0000	0.6485	0.6368
563	5.0000	1.0808	1.0613
564	5.0000	1.0808	1.0613
565	5.0000	1.0808	1.0613
566	5.0000	1.0808	1.0613
567	5.0000	1.0808	1.0613
568	3.0000	0.6485	0.6368
569	5.0000	1.0808	1.0613
570	5.0000	1.0808	1.0613
571	5.0000	1.0808	1.0613
572	4.0000	0.8647	0.8491
573	4.0000	0.8647	0.8491
574	5.0000	1.0808	1.0613
575	5.0000	1.0808	1.0613
576	5.0000	1.0808	1.0613
577	5.0000	1.0808	1.0613
578	5.0000	1.0808	1.0613
579	5.0000	1.0808	1.0613
580	5.0000	1.0808	1.0613
581	5.0000	1.0808	1.0613
582	5.0000	1.0808	1.0613
583	5.0000	1.0808	1.0613
584	5.0000	1.0808	1.0613
585	5.0000	1.0808	1.0613
586	5.0000	1.0808	1.0613
587	5.0000	1.0808	1.0613
588	5.0000	1.0808	1.0613
589	5.0000	1.0808	1.0613
590	4.0000	0.8647	0.8491
591	5.0000	1.0808	1.0613
592	5.0000	1.0808	1.0613
593	5.0000	1.0808	1.0613
594	5.0000	1.0808	1.0613
595	5.0000	1.0808	1.0613
596	5.0000	1.0808	1.0613
597	4.0000	0.8647	0.8491
598	5.0000	1.0808	1.0613
599	5.0000	1.0808	1.0613
600	4.0000	0.8647	0.8491
601	4.0000	0.8647	0.8491
602	5.0000	1.0808	1.0613
603	5.0000	1.0808	1.0613
604	5.0000	1.0808	1.0613
605	5.0000	1.0808	1.0613
606	5.0000	1.0808	1.0613
607	5.0000	1.0808	1.0613
608	4.0000	0.8647	0.8491
609	4.0000	0.8647	0.8491
610	5.0000	1.0808	1.0613
611	4.0000	0.8647	0.8491
612	5.0000	1.0808	1.0613
613	5.0000	1.0808	1.0613
614	5.0000	1.0808	1.0613
615	3.0000	0.6485	0.6368
616	5.0000	1.0808	1.0613
617	5.0000	1.0808	1.0613
618	5.0000	1.0808	1.0613
619	5.0000	1.0808	1.0613
620	5.0000	1.0808	1.0613
621	5.0000	1.0808	1.0613
622	4.0000	0.8647	0.8491
623	3.0000	0.6485	0.6368
624	5.0000	1.0808	1.0613
625	4.0000	0.8647	0.8491
626	5.0000	1.0808	1.0613
627	5.0000	1.0808	1.0613
628	4.0000	0.8647	0.8491
629	5.0000	1.0808	1.0613
630	4.0000	0.8647	0.8491
631	4.0000	0.8647	0.8491
632	4.0000	0.8647	0.8491
633	5.0000	1.0808	1.0613
634	5.0000	1.0808	1.0613
635	5.0000	1.0808	1.0613
636	5.0000	1.0808	1.0613
637	4.0000	0.8647	0.8491
638	4.0000	0.8647	0.8491
639	4.0000	0.8647	0.8491
640	4.0000	0.8647	0.8491
641	5.0000	1.0808	1.0613
642	5.0000	1.0808	1.0613
643	4.0000	0.8647	0.8491
644	5.0000	1.0808	1.0613
645	5.0000	1.0808	1.0613
646	4.0000	0.8647	0.8491
647	5.0000	1.0808	1.0613
648	5.0000	1.0808	1.0613
649	5.0000	1.0808	1.0613
650	5.0000	1.0808	1.0613
651	5.0000	1.0808	1.0613
652	4.0000	0.8647	0.8491
653	5.0000	1.0808	1.0613
654	4.0000	0.8647	0.8491
655	4.0000	0.8647	0.8491
656	5.0000	1.0808	1.0613
657	5.0000	1.0808	1.0613
658	4.0000	0.8647	0.8491
659	5.0000	1.0808	1.0613
660	5.0000	1.0808	1.0613
661	5.0000	1.0808	1.0613
662	4.0000	0.8647	0.8491
663	4.0000	0.8647	0.8491
664	5.0000	1.0808	1.0613
665	5.0000	1.0808	1.0613
666	3.0000	0.6485	0.6368
667	5.0000	1.0808	1.0613
668	5.0000	1.0808	1.0613
669	5.0000	1.0808	1.0613
670	5.0000	1.0808	1.0613
671	5.0000	1.0808	1.0613
672	5.0000	1.0808	1.0613
673	5.0000	1.0808	1.0613
674	5.0000	1.0808	1.0613
675	5.0000	1.0808	1.0613
676	5.0000	1.0808	1.0613
677	4.0000	0.8647	0.8491
678	5.0000	1.0808	1.0613
679	5.0000	1.0808	1.0613
680	4.0000	0.8647	0.8491
681	5.0000	1.0808	1.0613
682	5.0000	1.0808	1.0613
683	5.0000	1.0808	1.0613
684	5.0000	1.0808	1.0613
685	5.0000	1.0808	1.0613
686	3.0000	0.6485	0.6368
687	5.0000	1.0808	1.0613
688	5.0000	1.0808	1.0613
689	5.0000	1.0808	1.0613
690	5.0000	1.0808	1.0613
691	5.0000	1.0808	1.0613
692	5.0000	1.0808	1.0613
693	4.0000	0.8647	0.8491
694	5.0000	1.0808	1.0613
695	5.0000	1.0808	1.0613
696	4.0000	0.8647	0.8491
697	5.0000	1.0808	1.0613
698	5.0000	1.0808	1.0613
699	5.0000	1.0808	1.0613
700	5.0000	1.0808	1.0613
701	5.0000	1.0808	1.0613
702	5.0000	1.0808	1.0613
703	5.0000	1.0808	1.0613
704	5.0000	1.0808	1.0613
705	5.0000	1.0808	1.0613
706	5.0000	1.0808	1.0613
707	5.0000	1.0808	1.0613
708	5.0000	1.0808	1.0613
709	5.0000	1.0808	1.0613
710	5.0000	1.0808	1.0613
711	5.0000	1.0808	1.0613
712	5.0000	1.0808	1.0613
713	5.0000	1.0808	1.0613
714	4.0000	0.8647	0.8491
715	5.0000	1.0808	1.0613
716	5.0000	1.0808	1.0613
717	5.0000	1.0808	1.0613
718	5.0000	1.0808	1.0613
719	4.0000	0.8647	0.8491
720	5.0000	1.0808	1.0613
721	5.0000	1.0808	1.0613
722	5.0000	1.0808	1.0613
723	5.0000	1.0808	1.0613
724	5.0000	1.0808	1.0613
725	3.0000	0.6485	0.6368
726	5.0000	1.0808	1.0613
727	5.0000	1.0808	1.0613
728	5.0000	1.0808	1.0613
729	5.0000	1.0808	1.0613
730	5.0000	1.0808	1.0613
731	5.0000	1.0808	1.0613
732	5.0000	1.0808	1.0613
733	5.0000	1.0808	1.0613
734	4.0000	0.8647	0.8491
735	5.0000	1.0808	1.0613
736	5.0000	1.0808	1.0613
737	4.0000	0.8647	0.8491
738	5.0000	1.0808	1.0613
739	5.0000	1.0808	1.0613
740	5.0000	1.0808	1.0613
741	5.0000	1.0808	1.0613
742	5.0000	1.0808	1.0613
743	4.0000	0.8647	0.8491
744	5.0000	1.0808	1.0613
745	5.0000	1.0808	1.0613
746	4.0000	0.8647	0.8491
747	4.0000	0.8647	0.8491
748	5.0000	1.0808	1.0613
749	5.0000	1.0808	1.0613
750	5.0000	1.0808	1.0613
751	3.0000	0.6485	0.6368
752	5.0000	1.0808	1.0613
753	5.0000	1.0808	1.0613
754	5.0000	1.0808	1.0613
755	4.0000	0.8647	0.8491
756	5.0000	1.0808	1.0613
757	5.0000	1.0808	1.0613
758	5.0000	1.0808	1.0613
759	5.0000	1.0808	1.0613
760	5.0000	1.0808	1.0613
761	5.0000	1.0808	1.0613
762	5.0000	1.0808	1.0613
763	5.0000	1.0808	1.0613
764	5.0000	1.0808	1.0613
765	4.0000	0.8647	0.8491
766	5.0000	1.0808	1.0613
767	5.0000	1.0808	1.0613
768	5.0000	1.0808	1.0613
769	5.0000	1.0808	1.0613
770	5.0000	1.0808	1.0613
771	5.0000	1.0808	1.0613
772	4.0000	0.8647	0.8491
773	5.0000	1.0808	1.0613
774	5.0000	1.0808	1.0613
775	4.0000	0.8647	0.8491
776	4.0000	0.8647	0.8491
777	5.0000	1.0808	1.0613
778	3.0000	0.6485	0.6368
779	5.0000	1.0808	1.0613
780	5.0000	1.0808	1.0613
781	4.0000	0.8647	0.8491
782	5.0000	1.0808	1.0613
783	5.0000	1.0808	1.0613
784	5.0000	1.0808	1.0613
785	5.0000	1.0808	1.0613
786	5.0000	1.0808	1.0613
787	5.0000	1.0808	1.0613
788	5.0000	1.0808	1.0613
789	5.0000	1.0808	1.0613
790	5.0000	1.0808	1.0613
791	5.0000	1.0808	1.0613
792	5.0000	1.0808	1.0613
793	4.0000	0.8647	0.8491
794	5.0000	1.0808	1.0613
795	5.0000	1.0808	1.0613
796	5.0000	1.0808	1.0613
797	5.0000	1.0808	1.0613
798	5.0000	1.0808	1.0613
799	5.0000	1.0808	1.0613
800	5.0000	1.0808	1.0613
801	5.0000	1.0808	1.0613
802	5.0000	1.0808	1.0613
803	4.0000	0.8647	0.8491
804	5.0000	1.0808	1.0613
805	5.0000	1.0808	1.0613
806	5.0000	1.0808	1.0613
807	5.0000	1.0808	1.0613
808	5.0000	1.0808	1.0613
809	5.0000	1.0808	1.0613
810	5.0000	1.0808	1.0613
811	5.0000	1.0808	1.0613
812	5.0000	1.0808	1.0613
813	4.0000	0.8647	0.8491
814	5.0000	1.0808	1.0613
815	5.0000	1.0808	1.0613
