Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
299	7.0000	1.3930	1.3675
300	6.0000	1.1940	1.1721
301	7.0000	1.3930	1.3675
302	6.0000	1.1940	1.1721
303	2.0000	0.3980	0.3907
304	6.0000	1.1940	1.1721
305	7.0000	1.3930	1.3675
306	4.0000	0.7960	0.7814
307	6.0000	1.1940	1.1721
308	2.0000	0.3980	0.3907
309	2.0000	0.3980	0.3907
310	6.0000	1.1940	1.1721
311	7.0000	1.3930	1.3675
312	6.0000	1.1940	1.1721
313	4.0000	0.7960	0.7814
314	6.0000	1.1940	1.1721
315	6.0000	1.1940	1.1721
316	6.0000	1.1940	1.1721
317	4.0000	0.7960	0.7814
318	3.0000	0.5970	0.5861
319	6.0000	1.1940	1.1721
320	0.0000	0.0000	0.0000
321	3.0000	0.5970	0.5861
322	6.0000	1.1940	1.1721
323	4.0000	0.7960	0.7814
324	5.0000	0.9950	0.9768
325	3.0000	0.5970	0.5861
326	7.0000	1.3930	1.3675
327	6.0000	1.1940	1.1721
328	6.0000	1.1940	1.1721
329	6.0000	1.1940	1.1721
330	6.0000	1.1940	1.1721
331	6.0000	1.1940	1.1721
332	6.0000	1.1940	1.1721
333	6.0000	1.1940	1.1721
334	6.0000	1.1940	1.1721
335	4.0000	0.7960	0.7814
336	7.0000	1.3930	1.3675
337	6.0000	1.1940	1.1721
338	6.0000	1.1940	1.1721
339	4.0000	0.7960	0.7814
340	6.0000	1.1940	1.1721
341	7.0000	1.3930	1.3675
342	6.0000	1.1940	1.1721
343	4.0000	0.7960	0.7814
344	6.0000	1.1940	1.1721
345	6.0000	1.1940	1.1721
346	7.0000	1.3930	1.3675
347	6.0000	1.1940	1.1721
348	6.0000	1.1940	1.1721
349	6.0000	1.1940	1.1721
350	2.0000	0.3980	0.3907
351	7.0000	1.3930	1.3675
352	6.0000	1.1940	1.1721
353	6.0000	1.1940	1.1721
354	2.0000	0.3980	0.3907
355	6.0000	1.1940	1.1721
356	5.0000	0.9950	0.9768
357	6.0000	1.1940	1.1721
358	6.0000	1.1940	1.1721
359	4.0000	0.7960	0.7814
360	6.0000	1.1940	1.1721
361	6.0000	1.1940	1.1721
362	6.0000	1.1940	1.1721
363	4.0000	0.7960	0.7814
364	4.0000	0.7960	0.7814
365	4.0000	0.7960	0.7814
366	4.0000	0.7960	0.7814
367	4.0000	0.7960	0.7814
368	5.0000	0.9950	0.9768
369	6.0000	1.1940	1.1721
370	6.0000	1.1940	1.1721
371	4.0000	0.7960	0.7814
372	2.0000	0.3980	0.3907
373	6.0000	1.1940	1.1721
374	4.0000	0.7960	0.7814
375	6.0000	1.1940	1.1721
376	5.0000	0.9950	0.9768
377	4.0000	0.7960	0.7814
378	6.0000	1.1940	1.1721
379	6.0000	1.1940	1.1721
380	4.0000	0.7960	0.7814
381	6.0000	1.1940	1.1721
382	4.0000	0.7960	0.7814
383	6.0000	1.1940	1.1721
384	4.0000	0.7960	0.7814
385	3.0000	0.5970	0.5861
386	6.0000	1.1940	1.1721
387	6.0000	1.1940	1.1721
388	4.0000	0.7960	0.7814
389	4.0000	0.7960	0.7814
390	6.0000	1.1940	1.1721
391	4.0000	0.7960	0.7814
392	4.0000	0.7960	0.7814
393	6.0000	1.1940	1.1721
394	6.0000	1.1940	1.1721
395	4.0000	0.7960	0.7814
396	6.0000	1.1940	1.1721
397	7.0000	1.3930	1.3675
398	2.0000	0.3980	0.3907
399	7.0000	1.3930	1.3675
400	5.0000	0.9950	0.9768
401	6.0000	1.1940	1.1721
402	0.0000	0.0000	0.0000
403	4.0000	0.7960	0.7814
404	6.0000	1.1940	1.1721
405	6.0000	1.1940	1.1721
406	4.0000	0.7960	0.7814
407	2.0000	0.3980	0.3907
408	6.0000	1.1940	1.1721
409	5.0000	0.9950	0.9768
410	6.0000	1.1940	1.1721
411	4.0000	0.7960	0.7814
412	5.0000	0.9950	0.9768
413	6.0000	1.1940	1.1721
414	4.0000	0.7960	0.7814
415	6.0000	1.1940	1.1721
416	6.0000	1.1940	1.1721
417	6.0000	1.1940	1.1721
418	6.0000	1.1940	1.1721
419	7.0000	1.3930	1.3675
420	4.0000	0.7960	0.7814
421	4.0000	0.7960	0.7814
422	6.0000	1.1940	1.1721
423	7.0000	1.3930	1.3675
424	2.0000	0.3980	0.3907
425	4.0000	0.7960	0.7814
426	7.0000	1.3930	1.3675
427	6.0000	1.1940	1.1721
428	4.0000	0.7960	0.7814
429	6.0000	1.1940	1.1721
430	6.0000	1.1940	1.1721
431	4.0000	0.7960	0.7814
432	6.0000	1.1940	1.1721
