Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
422	2.0000	0.7740	0.7590
423	3.0000	1.1610	1.1385
424	2.0000	0.7740	0.7590
425	2.0000	0.7740	0.7590
426	3.0000	1.1610	1.1385
427	2.0000	0.7740	0.7590
428	3.0000	1.1610	1.1385
429	3.0000	1.1610	1.1385
430	3.0000	1.1610	1.1385
431	3.0000	1.1610	1.1385
432	3.0000	1.1610	1.1385
433	3.0000	1.1610	1.1385
434	3.0000	1.1610	1.1385
435	3.0000	1.1610	1.1385
436	2.0000	0.7740	0.7590
437	2.0000	0.7740	0.7590
438	3.0000	1.1610	1.1385
439	3.0000	1.1610	1.1385
440	3.0000	1.1610	1.1385
441	3.0000	1.1610	1.1385
442	3.0000	1.1610	1.1385
443	2.0000	0.7740	0.7590
444	3.0000	1.1610	1.1385
445	2.0000	0.7740	0.7590
446	2.0000	0.7740	0.7590
447	2.0000	0.7740	0.7590
448	3.0000	1.1610	1.1385
449	3.0000	1.1610	1.1385
450	2.0000	0.7740	0.7590
451	2.0000	0.7740	0.7590
452	3.0000	1.1610	1.1385
453	3.0000	1.1610	1.1385
454	2.0000	0.7740	0.7590
455	2.0000	0.7740	0.7590
456	3.0000	1.1610	1.1385
457	3.0000	1.1610	1.1385
458	3.0000	1.1610	1.1385
459	3.0000	1.1610	1.1385
460	3.0000	1.1610	1.1385
461	2.0000	0.7740	0.7590
462	3.0000	1.1610	1.1385
463	3.0000	1.1610	1.1385
464	3.0000	1.1610	1.1385
465	3.0000	1.1610	1.1385
466	2.0000	0.7740	0.7590
467	3.0000	1.1610	1.1385
468	1.0000	0.3870	0.3795
469	3.0000	1.1610	1.1385
470	2.0000	0.7740	0.7590
471	3.0000	1.1610	1.1385
472	2.0000	0.7740	0.7590
473	3.0000	1.1610	1.1385
474	1.0000	0.3870	0.3795
475	3.0000	1.1610	1.1385
476	3.0000	1.1610	1.1385
477	3.0000	1.1610	1.1385
478	1.0000	0.3870	0.3795
479	2.0000	0.7740	0.7590
480	2.0000	0.7740	0.7590
481	2.0000	0.7740	0.7590
482	3.0000	1.1610	1.1385
483	3.0000	1.1610	1.1385
484	3.0000	1.1610	1.1385
485	3.0000	1.1610	1.1385
486	2.0000	0.7740	0.7590
487	2.0000	0.7740	0.7590
488	3.0000	1.1610	1.1385
489	3.0000	1.1610	1.1385
490	1.0000	0.3870	0.3795
491	3.0000	1.1610	1.1385
492	3.0000	1.1610	1.1385
493	3.0000	1.1610	1.1385
494	3.0000	1.1610	1.1385
495	2.0000	0.7740	0.7590
496	3.0000	1.1610	1.1385
497	3.0000	1.1610	1.1385
498	3.0000	1.1610	1.1385
499	3.0000	1.1610	1.1385
500	3.0000	1.1610	1.1385
501	2.0000	0.7740	0.7590
502	3.0000	1.1610	1.1385
503	3.0000	1.1610	1.1385
504	3.0000	1.1610	1.1385
505	3.0000	1.1610	1.1385
506	2.0000	0.7740	0.7590
507	3.0000	1.1610	1.1385
508	2.0000	0.7740	0.7590
509	2.0000	0.7740	0.7590
510	3.0000	1.1610	1.1385
511	3.0000	1.1610	1.1385
512	3.0000	1.1610	1.1385
513	3.0000	1.1610	1.1385
514	2.0000	0.7740	0.7590
515	2.0000	0.7740	0.7590
516	1.0000	0.3870	0.3795
517	3.0000	1.1610	1.1385
518	3.0000	1.1610	1.1385
519	1.0000	0.3870	0.3795
520	3.0000	1.1610	1.1385
521	3.0000	1.1610	1.1385
522	3.0000	1.1610	1.1385
523	2.0000	0.7740	0.7590
524	3.0000	1.1610	1.1385
