Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
714	3.0000	1.1610	1.1385
715	3.0000	1.1610	1.1385
716	3.0000	1.1610	1.1385
717	3.0000	1.1610	1.1385
718	3.0000	1.1610	1.1385
719	2.0000	0.7740	0.7590
720	2.0000	0.7740	0.7590
721	3.0000	1.1610	1.1385
722	3.0000	1.1610	1.1385
723	2.0000	0.7740	0.7590
724	2.0000	0.7740	0.7590
725	3.0000	1.1610	1.1385
726	3.0000	1.1610	1.1385
727	3.0000	1.1610	1.1385
728	3.0000	1.1610	1.1385
729	3.0000	1.1610	1.1385
730	2.0000	0.7740	0.7590
731	2.0000	0.7740	0.7590
732	3.0000	1.1610	1.1385
733	3.0000	1.1610	1.1385
734	3.0000	1.1610	1.1385
735	3.0000	1.1610	1.1385
736	3.0000	1.1610	1.1385
737	3.0000	1.1610	1.1385
738	2.0000	0.7740	0.7590
739	3.0000	1.1610	1.1385
740	3.0000	1.1610	1.1385
741	3.0000	1.1610	1.1385
742	3.0000	1.1610	1.1385
743	3.0000	1.1610	1.1385
744	3.0000	1.1610	1.1385
745	3.0000	1.1610	1.1385
746	2.0000	0.7740	0.7590
747	3.0000	1.1610	1.1385
748	3.0000	1.1610	1.1385
749	1.0000	0.3870	0.3795
750	3.0000	1.1610	1.1385
751	3.0000	1.1610	1.1385
752	3.0000	1.1610	1.1385
753	3.0000	1.1610	1.1385
754	1.0000	0.3870	0.3795
755	3.0000	1.1610	1.1385
756	2.0000	0.7740	0.7590
757	3.0000	1.1610	1.1385
758	2.0000	0.7740	0.7590
759	2.0000	0.7740	0.7590
760	2.0000	0.7740	0.7590
761	3.0000	1.1610	1.1385
762	3.0000	1.1610	1.1385
763	3.0000	1.1610	1.1385
764	3.0000	1.1610	1.1385
765	3.0000	1.1610	1.1385
766	3.0000	1.1610	1.1385
767	3.0000	1.1610	1.1385
768	0.0000	0.0000	0.0000
769	3.0000	1.1610	1.1385
770	3.0000	1.1610	1.1385
771	2.0000	0.7740	0.7590
772	2.0000	0.7740	0.7590
773	3.0000	1.1610	1.1385
774	3.0000	1.1610	1.1385
775	3.0000	1.1610	1.1385
776	2.0000	0.7740	0.7590
777	3.0000	1.1610	1.1385
778	2.0000	0.7740	0.7590
779	2.0000	0.7740	0.7590
780	3.0000	1.1610	1.1385
781	3.0000	1.1610	1.1385
782	3.0000	1.1610	1.1385
783	3.0000	1.1610	1.1385
784	3.0000	1.1610	1.1385
785	3.0000	1.1610	1.1385
786	3.0000	1.1610	1.1385
787	3.0000	1.1610	1.1385
788	3.0000	1.1610	1.1385
789	3.0000	1.1610	1.1385
790	3.0000	1.1610	1.1385
791	3.0000	1.1610	1.1385
792	3.0000	1.1610	1.1385
793	2.0000	0.7740	0.7590
794	3.0000	1.1610	1.1385
795	3.0000	1.1610	1.1385
796	2.0000	0.7740	0.7590
797	2.0000	0.7740	0.7590
798	3.0000	1.1610	1.1385
799	3.0000	1.1610	1.1385
800	3.0000	1.1610	1.1385
801	3.0000	1.1610	1.1385
802	3.0000	1.1610	1.1385
803	2.0000	0.7740	0.7590
804	3.0000	1.1610	1.1385
805	3.0000	1.1610	1.1385
806	3.0000	1.1610	1.1385
807	2.0000	0.7740	0.7590
808	3.0000	1.1610	1.1385
