Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
346	16.0000	0.9767	0.9402
347	19.0000	1.1598	1.1165
348	14.0000	0.8546	0.8227
349	9.0000	0.5494	0.5289
350	20.0000	1.2209	1.1752
351	12.0000	0.7325	0.7051
352	14.0000	0.8546	0.8227
353	12.0000	0.7325	0.7051
354	16.0000	0.9767	0.9402
355	18.0000	1.0988	1.0577
356	18.0000	1.0988	1.0577
357	17.0000	1.0377	0.9989
358	15.0000	0.9156	0.8814
359	16.0000	0.9767	0.9402
360	17.0000	1.0377	0.9989
361	17.0000	1.0377	0.9989
362	18.0000	1.0988	1.0577
363	11.0000	0.6715	0.6464
364	16.0000	0.9767	0.9402
365	20.0000	1.2209	1.1752
366	17.0000	1.0377	0.9989
367	16.0000	0.9767	0.9402
368	17.0000	1.0377	0.9989
369	15.0000	0.9156	0.8814
370	15.0000	0.9156	0.8814
371	21.0000	1.2819	1.2340
372	14.0000	0.8546	0.8227
373	19.0000	1.1598	1.1165
374	15.0000	0.9156	0.8814
375	17.0000	1.0377	0.9989
376	16.0000	0.9767	0.9402
377	15.0000	0.9156	0.8814
378	15.0000	0.9156	0.8814
379	15.0000	0.9156	0.8814
380	16.0000	0.9767	0.9402
381	16.0000	0.9767	0.9402
382	14.0000	0.8546	0.8227
383	14.0000	0.8546	0.8227
384	15.0000	0.9156	0.8814
385	12.0000	0.7325	0.7051
386	16.0000	0.9767	0.9402
387	12.0000	0.7325	0.7051
388	16.0000	0.9767	0.9402
389	19.0000	1.1598	1.1165
390	17.0000	1.0377	0.9989
391	18.0000	1.0988	1.0577
392	14.0000	0.8546	0.8227
393	14.0000	0.8546	0.8227
394	18.0000	1.0988	1.0577
395	17.0000	1.0377	0.9989
396	15.0000	0.9156	0.8814
397	14.0000	0.8546	0.8227
398	16.0000	0.9767	0.9402
399	19.0000	1.1598	1.1165
400	15.0000	0.9156	0.8814
401	13.0000	0.7936	0.7639
402	15.0000	0.9156	0.8814
403	14.0000	0.8546	0.8227
404	16.0000	0.9767	0.9402
405	14.0000	0.8546	0.8227
406	15.0000	0.9156	0.8814
407	15.0000	0.9156	0.8814
408	18.0000	1.0988	1.0577
409	16.0000	0.9767	0.9402
410	18.0000	1.0988	1.0577
411	13.0000	0.7936	0.7639
412	19.0000	1.1598	1.1165
413	16.0000	0.9767	0.9402
414	16.0000	0.9767	0.9402
415	11.0000	0.6715	0.6464
416	18.0000	1.0988	1.0577
417	12.0000	0.7325	0.7051
418	16.0000	0.9767	0.9402
419	16.0000	0.9767	0.9402
420	14.0000	0.8546	0.8227
421	16.0000	0.9767	0.9402
422	21.0000	1.2819	1.2340
423	12.0000	0.7325	0.7051
424	11.0000	0.6715	0.6464
425	18.0000	1.0988	1.0577
426	9.0000	0.5494	0.5289
427	13.0000	0.7936	0.7639
428	12.0000	0.7325	0.7051
429	11.0000	0.6715	0.6464
430	17.0000	1.0377	0.9989
431	17.0000	1.0377	0.9989
432	16.0000	0.9767	0.9402
433	14.0000	0.8546	0.8227
434	12.0000	0.7325	0.7051
435	14.0000	0.8546	0.8227
436	14.0000	0.8546	0.8227
437	16.0000	0.9767	0.9402
438	16.0000	0.9767	0.9402
439	11.0000	0.6715	0.6464
440	18.0000	1.0988	1.0577
441	16.0000	0.9767	0.9402
442	16.0000	0.9767	0.9402
443	15.0000	0.9156	0.8814
444	12.0000	0.7325	0.7051
445	19.0000	1.1598	1.1165
446	15.0000	0.9156	0.8814
447	19.0000	1.1598	1.1165
448	21.0000	1.2819	1.2340
449	14.0000	0.8546	0.8227
450	15.0000	0.9156	0.8814
451	16.0000	0.9767	0.9402
452	15.0000	0.9156	0.8814
453	14.0000	0.8546	0.8227
454	16.0000	0.9767	0.9402
455	14.0000	0.8546	0.8227
456	17.0000	1.0377	0.9989
457	15.0000	0.9156	0.8814
458	13.0000	0.7936	0.7639
459	17.0000	1.0377	0.9989
460	13.0000	0.7936	0.7639
461	16.0000	0.9767	0.9402
462	14.0000	0.8546	0.8227
463	9.0000	0.5494	0.5289
464	16.0000	0.9767	0.9402
465	20.0000	1.2209	1.1752
466	16.0000	0.9767	0.9402
467	19.0000	1.1598	1.1165
468	19.0000	1.1598	1.1165
469	16.0000	0.9767	0.9402
470	16.0000	0.9767	0.9402
471	17.0000	1.0377	0.9989
472	20.0000	1.2209	1.1752
473	14.0000	0.8546	0.8227
474	12.0000	0.7325	0.7051
475	15.0000	0.9156	0.8814
476	14.0000	0.8546	0.8227
477	17.0000	1.0377	0.9989
478	15.0000	0.9156	0.8814
479	16.0000	0.9767	0.9402
480	16.0000	0.9767	0.9402
481	11.0000	0.6715	0.6464
482	14.0000	0.8546	0.8227
483	12.0000	0.7325	0.7051
484	14.0000	0.8546	0.8227
485	18.0000	1.0988	1.0577
486	12.0000	0.7325	0.7051
487	17.0000	1.0377	0.9989
488	16.0000	0.9767	0.9402
489	11.0000	0.6715	0.6464
490	16.0000	0.9767	0.9402
491	13.0000	0.7936	0.7639
492	14.0000	0.8546	0.8227
493	18.0000	1.0988	1.0577
494	16.0000	0.9767	0.9402
495	14.0000	0.8546	0.8227
496	18.0000	1.0988	1.0577
497	16.0000	0.9767	0.9402
498	9.0000	0.5494	0.5289
499	10.0000	0.6104	0.5876
500	12.0000	0.7325	0.7051
501	15.0000	0.9156	0.8814
502	16.0000	0.9767	0.9402
503	15.0000	0.9156	0.8814
504	16.0000	0.9767	0.9402
505	18.0000	1.0988	1.0577
506	13.0000	0.7936	0.7639
507	14.0000	0.8546	0.8227
508	18.0000	1.0988	1.0577
509	17.0000	1.0377	0.9989
