Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
562	8.0000	0.8844	0.8737
563	9.0000	0.9949	0.9830
564	8.0000	0.8844	0.8737
565	11.0000	1.2160	1.2014
566	8.0000	0.8844	0.8737
567	8.0000	0.8844	0.8737
568	6.0000	0.6633	0.6553
569	7.0000	0.7738	0.7645
570	11.0000	1.2160	1.2014
571	7.0000	0.7738	0.7645
572	10.0000	1.1055	1.0922
573	7.0000	0.7738	0.7645
574	6.0000	0.6633	0.6553
575	10.0000	1.1055	1.0922
576	6.0000	0.6633	0.6553
577	5.0000	0.5527	0.5461
578	6.0000	0.6633	0.6553
579	6.0000	0.6633	0.6553
580	10.0000	1.1055	1.0922
581	10.0000	1.1055	1.0922
582	5.0000	0.5527	0.5461
583	9.0000	0.9949	0.9830
584	10.0000	1.1055	1.0922
585	10.0000	1.1055	1.0922
586	6.0000	0.6633	0.6553
587	12.0000	1.3266	1.3106
588	6.0000	0.6633	0.6553
589	12.0000	1.3266	1.3106
590	10.0000	1.1055	1.0922
591	11.0000	1.2160	1.2014
592	12.0000	1.3266	1.3106
593	10.0000	1.1055	1.0922
594	7.0000	0.7738	0.7645
595	8.0000	0.8844	0.8737
596	6.0000	0.6633	0.6553
597	9.0000	0.9949	0.9830
598	7.0000	0.7738	0.7645
599	11.0000	1.2160	1.2014
600	8.0000	0.8844	0.8737
601	8.0000	0.8844	0.8737
602	6.0000	0.6633	0.6553
603	6.0000	0.6633	0.6553
604	10.0000	1.1055	1.0922
605	9.0000	0.9949	0.9830
606	8.0000	0.8844	0.8737
607	8.0000	0.8844	0.8737
608	5.0000	0.5527	0.5461
609	11.0000	1.2160	1.2014
610	9.0000	0.9949	0.9830
611	7.0000	0.7738	0.7645
612	7.0000	0.7738	0.7645
613	10.0000	1.1055	1.0922
614	8.0000	0.8844	0.8737
615	10.0000	1.1055	1.0922
616	9.0000	0.9949	0.9830
617	9.0000	0.9949	0.9830
618	10.0000	1.1055	1.0922
619	10.0000	1.1055	1.0922
620	10.0000	1.1055	1.0922
621	7.0000	0.7738	0.7645
622	8.0000	0.8844	0.8737
623	10.0000	1.1055	1.0922
624	10.0000	1.1055	1.0922
625	10.0000	1.1055	1.0922
626	8.0000	0.8844	0.8737
627	9.0000	0.9949	0.9830
628	4.0000	0.4422	0.4369
629	8.0000	0.8844	0.8737
630	8.0000	0.8844	0.8737
631	8.0000	0.8844	0.8737
632	8.0000	0.8844	0.8737
633	6.0000	0.6633	0.6553
634	10.0000	1.1055	1.0922
635	10.0000	1.1055	1.0922
636	10.0000	1.1055	1.0922
637	6.0000	0.6633	0.6553
638	8.0000	0.8844	0.8737
639	10.0000	1.1055	1.0922
640	10.0000	1.1055	1.0922
641	8.0000	0.8844	0.8737
642	9.0000	0.9949	0.9830
643	9.0000	0.9949	0.9830
644	8.0000	0.8844	0.8737
645	8.0000	0.8844	0.8737
646	8.0000	0.8844	0.8737
647	9.0000	0.9949	0.9830
648	11.0000	1.2160	1.2014
649	12.0000	1.3266	1.3106
650	9.0000	0.9949	0.9830
651	10.0000	1.1055	1.0922
652	7.0000	0.7738	0.7645
653	6.0000	0.6633	0.6553
654	4.0000	0.4422	0.4369
655	7.0000	0.7738	0.7645
656	10.0000	1.1055	1.0922
657	11.0000	1.2160	1.2014
658	11.0000	1.2160	1.2014
659	5.0000	0.5527	0.5461
660	12.0000	1.3266	1.3106
661	7.0000	0.7738	0.7645
662	9.0000	0.9949	0.9830
663	10.0000	1.1055	1.0922
664	8.0000	0.8844	0.8737
665	8.0000	0.8844	0.8737
666	8.0000	0.8844	0.8737
667	8.0000	0.8844	0.8737
668	10.0000	1.1055	1.0922
669	7.0000	0.7738	0.7645
670	10.0000	1.1055	1.0922
671	8.0000	0.8844	0.8737
672	10.0000	1.1055	1.0922
673	11.0000	1.2160	1.2014
674	10.0000	1.1055	1.0922
675	10.0000	1.1055	1.0922
676	11.0000	1.2160	1.2014
677	8.0000	0.8844	0.8737
678	11.0000	1.2160	1.2014
679	8.0000	0.8844	0.8737
680	6.0000	0.6633	0.6553
681	10.0000	1.1055	1.0922
682	7.0000	0.7738	0.7645
683	8.0000	0.8844	0.8737
684	8.0000	0.8844	0.8737
685	6.0000	0.6633	0.6553
686	8.0000	0.8844	0.8737
687	10.0000	1.1055	1.0922
688	11.0000	1.2160	1.2014
689	6.0000	0.6633	0.6553
690	10.0000	1.1055	1.0922
691	7.0000	0.7738	0.7645
692	7.0000	0.7738	0.7645
693	7.0000	0.7738	0.7645
694	8.0000	0.8844	0.8737
695	6.0000	0.6633	0.6553
696	8.0000	0.8844	0.8737
697	8.0000	0.8844	0.8737
698	7.0000	0.7738	0.7645
699	10.0000	1.1055	1.0922
700	10.0000	1.1055	1.0922
701	8.0000	0.8844	0.8737
702	8.0000	0.8844	0.8737
703	7.0000	0.7738	0.7645
704	6.0000	0.6633	0.6553
705	9.0000	0.9949	0.9830
706	6.0000	0.6633	0.6553
707	6.0000	0.6633	0.6553
708	6.0000	0.6633	0.6553
709	10.0000	1.1055	1.0922
710	10.0000	1.1055	1.0922
