Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
526	4.0000	1.0908	1.0902
527	3.0000	0.8181	0.8177
528	3.0000	0.8181	0.8177
529	4.0000	1.0908	1.0902
530	3.0000	0.8181	0.8177
531	4.0000	1.0908	1.0902
532	4.0000	1.0908	1.0902
533	4.0000	1.0908	1.0902
534	4.0000	1.0908	1.0902
535	4.0000	1.0908	1.0902
536	4.0000	1.0908	1.0902
537	3.0000	0.8181	0.8177
538	4.0000	1.0908	1.0902
539	3.0000	0.8181	0.8177
540	4.0000	1.0908	1.0902
541	4.0000	1.0908	1.0902
542	4.0000	1.0908	1.0902
543	3.0000	0.8181	0.8177
544	4.0000	1.0908	1.0902
545	4.0000	1.0908	1.0902
546	3.0000	0.8181	0.8177
547	3.0000	0.8181	0.8177
548	4.0000	1.0908	1.0902
549	3.0000	0.8181	0.8177
550	4.0000	1.0908	1.0902
551	3.0000	0.8181	0.8177
552	3.0000	0.8181	0.8177
553	4.0000	1.0908	1.0902
554	4.0000	1.0908	1.0902
555	3.0000	0.8181	0.8177
556	4.0000	1.0908	1.0902
557	4.0000	1.0908	1.0902
558	4.0000	1.0908	1.0902
559	3.0000	0.8181	0.8177
560	4.0000	1.0908	1.0902
561	4.0000	1.0908	1.0902
562	4.0000	1.0908	1.0902
563	4.0000	1.0908	1.0902
564	4.0000	1.0908	1.0902
565	4.0000	1.0908	1.0902
566	4.0000	1.0908	1.0902
567	4.0000	1.0908	1.0902
568	3.0000	0.8181	0.8177
569	3.0000	0.8181	0.8177
570	4.0000	1.0908	1.0902
571	4.0000	1.0908	1.0902
572	4.0000	1.0908	1.0902
573	3.0000	0.8181	0.8177
574	3.0000	0.8181	0.8177
575	4.0000	1.0908	1.0902
576	3.0000	0.8181	0.8177
577	2.0000	0.5454	0.5451
578	4.0000	1.0908	1.0902
579	3.0000	0.8181	0.8177
580	4.0000	1.0908	1.0902
581	4.0000	1.0908	1.0902
582	3.0000	0.8181	0.8177
583	3.0000	0.8181	0.8177
584	4.0000	1.0908	1.0902
585	4.0000	1.0908	1.0902
586	3.0000	0.8181	0.8177
587	4.0000	1.0908	1.0902
588	4.0000	1.0908	1.0902
589	4.0000	1.0908	1.0902
590	4.0000	1.0908	1.0902
591	4.0000	1.0908	1.0902
592	4.0000	1.0908	1.0902
593	4.0000	1.0908	1.0902
594	4.0000	1.0908	1.0902
595	3.0000	0.8181	0.8177
596	4.0000	1.0908	1.0902
597	4.0000	1.0908	1.0902
598	4.0000	1.0908	1.0902
599	4.0000	1.0908	1.0902
600	4.0000	1.0908	1.0902
601	4.0000	1.0908	1.0902
602	2.0000	0.5454	0.5451
603	3.0000	0.8181	0.8177
604	4.0000	1.0908	1.0902
605	3.0000	0.8181	0.8177
606	3.0000	0.8181	0.8177
607	4.0000	1.0908	1.0902
608	2.0000	0.5454	0.5451
609	4.0000	1.0908	1.0902
610	4.0000	1.0908	1.0902
611	4.0000	1.0908	1.0902
612	3.0000	0.8181	0.8177
613	4.0000	1.0908	1.0902
614	3.0000	0.8181	0.8177
615	4.0000	1.0908	1.0902
616	4.0000	1.0908	1.0902
617	4.0000	1.0908	1.0902
618	4.0000	1.0908	1.0902
619	4.0000	1.0908	1.0902
620	4.0000	1.0908	1.0902
621	4.0000	1.0908	1.0902
622	3.0000	0.8181	0.8177
623	4.0000	1.0908	1.0902
624	4.0000	1.0908	1.0902
625	4.0000	1.0908	1.0902
626	4.0000	1.0908	1.0902
627	4.0000	1.0908	1.0902
628	2.0000	0.5454	0.5451
629	4.0000	1.0908	1.0902
630	4.0000	1.0908	1.0902
631	4.0000	1.0908	1.0902
632	4.0000	1.0908	1.0902
633	3.0000	0.8181	0.8177
634	4.0000	1.0908	1.0902
635	4.0000	1.0908	1.0902
636	4.0000	1.0908	1.0902
637	3.0000	0.8181	0.8177
638	4.0000	1.0908	1.0902
639	4.0000	1.0908	1.0902
640	4.0000	1.0908	1.0902
641	3.0000	0.8181	0.8177
642	4.0000	1.0908	1.0902
643	4.0000	1.0908	1.0902
644	3.0000	0.8181	0.8177
645	4.0000	1.0908	1.0902
646	4.0000	1.0908	1.0902
647	4.0000	1.0908	1.0902
648	4.0000	1.0908	1.0902
649	4.0000	1.0908	1.0902
650	4.0000	1.0908	1.0902
651	4.0000	1.0908	1.0902
652	4.0000	1.0908	1.0902
653	4.0000	1.0908	1.0902
654	3.0000	0.8181	0.8177
655	3.0000	0.8181	0.8177
656	4.0000	1.0908	1.0902
657	4.0000	1.0908	1.0902
658	4.0000	1.0908	1.0902
659	3.0000	0.8181	0.8177
660	4.0000	1.0908	1.0902
661	3.0000	0.8181	0.8177
662	3.0000	0.8181	0.8177
663	4.0000	1.0908	1.0902
664	3.0000	0.8181	0.8177
665	4.0000	1.0908	1.0902
666	3.0000	0.8181	0.8177
667	3.0000	0.8181	0.8177
668	4.0000	1.0908	1.0902
669	3.0000	0.8181	0.8177
670	4.0000	1.0908	1.0902
671	4.0000	1.0908	1.0902
672	4.0000	1.0908	1.0902
673	4.0000	1.0908	1.0902
674	4.0000	1.0908	1.0902
675	4.0000	1.0908	1.0902
676	4.0000	1.0908	1.0902
677	4.0000	1.0908	1.0902
678	4.0000	1.0908	1.0902
679	3.0000	0.8181	0.8177
680	3.0000	0.8181	0.8177
681	4.0000	1.0908	1.0902
682	4.0000	1.0908	1.0902
683	3.0000	0.8181	0.8177
684	3.0000	0.8181	0.8177
685	2.0000	0.5454	0.5451
686	4.0000	1.0908	1.0902
687	4.0000	1.0908	1.0902
688	4.0000	1.0908	1.0902
689	3.0000	0.8181	0.8177
690	4.0000	1.0908	1.0902
691	3.0000	0.8181	0.8177
692	4.0000	1.0908	1.0902
693	3.0000	0.8181	0.8177
694	3.0000	0.8181	0.8177
695	3.0000	0.8181	0.8177
696	3.0000	0.8181	0.8177
697	4.0000	1.0908	1.0902
698	4.0000	1.0908	1.0902
699	4.0000	1.0908	1.0902
700	4.0000	1.0908	1.0902
701	4.0000	1.0908	1.0902
702	3.0000	0.8181	0.8177
703	4.0000	1.0908	1.0902
704	4.0000	1.0908	1.0902
705	3.0000	0.8181	0.8177
706	3.0000	0.8181	0.8177
707	3.0000	0.8181	0.8177
708	3.0000	0.8181	0.8177
709	4.0000	1.0908	1.0902
710	4.0000	1.0908	1.0902
711	4.0000	1.0908	1.0902
712	4.0000	1.0908	1.0902
713	4.0000	1.0908	1.0902
714	4.0000	1.0908	1.0902
715	4.0000	1.0908	1.0902
716	4.0000	1.0908	1.0902
717	4.0000	1.0908	1.0902
718	4.0000	1.0908	1.0902
719	3.0000	0.8181	0.8177
720	4.0000	1.0908	1.0902
721	4.0000	1.0908	1.0902
722	4.0000	1.0908	1.0902
723	3.0000	0.8181	0.8177
724	3.0000	0.8181	0.8177
725	4.0000	1.0908	1.0902
726	4.0000	1.0908	1.0902
727	3.0000	0.8181	0.8177
728	4.0000	1.0908	1.0902
729	4.0000	1.0908	1.0902
730	3.0000	0.8181	0.8177
731	3.0000	0.8181	0.8177
732	4.0000	1.0908	1.0902
733	4.0000	1.0908	1.0902
734	4.0000	1.0908	1.0902
735	4.0000	1.0908	1.0902
736	4.0000	1.0908	1.0902
737	3.0000	0.8181	0.8177
738	3.0000	0.8181	0.8177
739	4.0000	1.0908	1.0902
740	4.0000	1.0908	1.0902
741	4.0000	1.0908	1.0902
742	3.0000	0.8181	0.8177
743	4.0000	1.0908	1.0902
744	4.0000	1.0908	1.0902
745	4.0000	1.0908	1.0902
746	3.0000	0.8181	0.8177
747	4.0000	1.0908	1.0902
748	4.0000	1.0908	1.0902
749	2.0000	0.5454	0.5451
750	4.0000	1.0908	1.0902
751	4.0000	1.0908	1.0902
752	4.0000	1.0908	1.0902
753	4.0000	1.0908	1.0902
754	3.0000	0.8181	0.8177
755	4.0000	1.0908	1.0902
756	3.0000	0.8181	0.8177
757	4.0000	1.0908	1.0902
758	3.0000	0.8181	0.8177
759	3.0000	0.8181	0.8177
760	3.0000	0.8181	0.8177
761	4.0000	1.0908	1.0902
762	4.0000	1.0908	1.0902
763	4.0000	1.0908	1.0902
764	4.0000	1.0908	1.0902
765	4.0000	1.0908	1.0902
766	4.0000	1.0908	1.0902
767	4.0000	1.0908	1.0902
768	1.0000	0.2727	0.2726
769	4.0000	1.0908	1.0902
770	4.0000	1.0908	1.0902
771	3.0000	0.8181	0.8177
772	4.0000	1.0908	1.0902
773	4.0000	1.0908	1.0902
774	4.0000	1.0908	1.0902
775	4.0000	1.0908	1.0902
776	3.0000	0.8181	0.8177
777	4.0000	1.0908	1.0902
778	3.0000	0.8181	0.8177
779	3.0000	0.8181	0.8177
780	4.0000	1.0908	1.0902
781	4.0000	1.0908	1.0902
782	4.0000	1.0908	1.0902
783	4.0000	1.0908	1.0902
784	4.0000	1.0908	1.0902
785	4.0000	1.0908	1.0902
786	4.0000	1.0908	1.0902
787	4.0000	1.0908	1.0902
788	4.0000	1.0908	1.0902
789	4.0000	1.0908	1.0902
790	4.0000	1.0908	1.0902
791	4.0000	1.0908	1.0902
792	4.0000	1.0908	1.0902
793	3.0000	0.8181	0.8177
794	3.0000	0.8181	0.8177
795	4.0000	1.0908	1.0902
796	4.0000	1.0908	1.0902
797	3.0000	0.8181	0.8177
798	4.0000	1.0908	1.0902
799	4.0000	1.0908	1.0902
800	4.0000	1.0908	1.0902
801	4.0000	1.0908	1.0902
802	4.0000	1.0908	1.0902
803	3.0000	0.8181	0.8177
804	4.0000	1.0908	1.0902
805	4.0000	1.0908	1.0902
806	4.0000	1.0908	1.0902
807	3.0000	0.8181	0.8177
808	4.0000	1.0908	1.0902
809	3.0000	0.8181	0.8177
810	4.0000	1.0908	1.0902
811	2.0000	0.5454	0.5451
812	4.0000	1.0908	1.0902
